,English Reviews ,Modern standard Arabic (MSA),Bahraini Dialects (BDs)
0,It stinks!: Months of airing out can not take away the hideous stench coming out of these mats. Avoid at all costs.,íäÊä!: ÔåæÑ ãä ÇáÊåæíÉ áÇ íãßä Ãä ÊÓáÈ ÇáÑÇÆÍÉ ÇáßÑíåÉ ÇáäÇÊÌÉ ãä åĞå ÇáÍÕíÑÉ. ÊÌäÈåÇ ÈÃí Ëãä.,"íäÊä! : ÔåæÑ Êåæíä ÇáãßÇä æáÇ ÊØáÚ åÇáÑíÍÉ ÇáãÚØäÉ Çáí ØÇáÚÉ ãä åÇáÍÕíÑÉ¡ ÊÈÇÚÏ ÚäåÇ ŞÏ ãÇ ÊŞÏÑ."
0,"Disappointed: This was my first Danielle Steel novel, and I'm sorry to say I was disappointed by it. The plot was interesting enough that I stuck with it to the end, but the book was in serious need of a good editor. The author repeated herself repeatedly. I felt as though I were reading a first draft instead of a finished product. If you enjoy reading for the character development and beauty of the language as much as the plot, I do not recommend this book.","ãÎíÈÉ ááÂãÇá: ßÇäÊ åĞå ÑæÇíÊí ÇáÃæáì áÏÇäííá ÓÊíá ¡ æÃäÇ ÂÓİ ááŞæá Åääí ÔÚÑÊ ÈÎíÈÉ Ããá ÅÒÇÁåÇ. ßÇäÊ ÇáÍÈßÉ ãËíÑÉ ááÇåÊãÇã áÏÑÌÉ Ãääí ÊÚáŞÊ ÈåÇ ÍÊì ÇáäåÇíÉ ¡ áßä ÇáßÊÇÈ ßÇä İí ÃãÓ ÇáÍÇÌÉ Åáì ãÍÑÑ ÌíÏ. ßÑÑ ÇáãÄáİ äİÓå ãÑÇÑğÇ æÊßÑÇÑğÇ. ÔÚÑÊ ßãÇ áæ ßäÊ ÃŞÑÃ ÇáãÓæÏÉ ÇáÃæáì ÈÏáÇğ ãä ÇáãäÊÌ ÇáäåÇÆí. ÅĞÇ ßäÊ ÊÓÊãÊÚ ÈÇáŞÑÇÁÉ ãä ÃÌá ÊäãíÉ ÔÎÕíÉ æÌãÇá ÇááÛÉ ÈŞÏÑ ÍÈßÉ ÇáÑæÇíÉ ¡ áÇ ÃæÕí ÈåĞÇ ÇáßÊÇÈ.","ÊÎíÈ ÇáÂãÇá: ßÇäÊ åÇĞí Çæá ÑæÇíÉ áí ÇŞÑÇåÇ ÍŞ ÏÇäíá ÓÊíá¡ æÇäí ÍÏí ãÊÃÓİÉ Çäí ÇŞæá Çäí ÍÓíÊ ÈÎíÈÉ Çãá ÈÎÕæÕåÇ. ßÇäÊ ÇáŞÕÉ ÍáíæÉ áÏÑÌÉ Çäí áÕŞÊ İíåÇ ááäåÇíÉ¡ áßä ÇáßÇÊÈ ßÇä ÍÏå íÍÊÇÌ ãÍÑÑ Òíä. ÚÇÏ ÇáãÄáİ ÑæÍå ãÑÉ ÚŞÈ ãÑÉ. ÍÓíÊ Çäí ŞÇÚÏÉ ÇŞÑÇ ÇáãÓæÏÉ ÇáÇæáì ÈÏá ÇáãäÊÌ ÇáÇÎíÑ. ÇĞÇ ßäÊ ÊÓÊÇÊÓ ÈÇáŞÑÇÁÉ ÚÔÇä ÊäãíÉ ÔÎÕíÉ æÍáÇæÉ ÇááÛÉ äİÓ ÍÈßÉ ÇáŞÕÉ¡ ãÇ ÇæÕí ÈåÇáßÊÇÈ."
0,"I bought this blender. After a few months of use, it just stopped working. Still under warrantee, I mailed it to the company. 2 months later they mailed me a new blender. Two months after the warrantee expired it stopped working again. I am disappointed ","ÇÔÊÑíÊ åĞÇ ÇáÎáÇØ. ÈÚÏ ÈÖÚÉ ÃÔåÑ ãä ÇáÇÓÊÎÏÇã ¡ ÊæŞİ Úä ÇáÚãá. áÇ íÒÇá ÊÍÊ ÇáÖãÇä ¡ÇÑÓáÊå Çáì ÇáÔÑßÉ . ÈÚÏ ÔåÑíä ÃÑÓáæÇ áí ÎáÇØÇ ÌÏíÏÇ. ÈÚÏ ÔåÑíä ãä ÇäÊåÇÁ ÇáÖãÇä ¡ ÊæŞİ Úä ÇáÚãá ãÑÉ ÃÎÑì. ÃÔÚÑ ÈÎíÈÉ Ããá .","ÇÔÊÑíÊ åÇáãÚÕÑÉ. ÚŞÈ ÇÔåÑ ãä ÇáÇÓÊÎÏÇã. ÔíÑÊ. æÈÚÏåÇ ÊÍÊ ÇáŞÑäÊí¡ ØÑÔÊå ááÔÑßÉ. ÚŞÈ ÔåÑíä ØÑÔæÇ áí ÎáÇØ ÌÏíÏ. ÚŞÈ ÔåÑíä ãä äåÇíÉ ÇáŞÑäÊí¡ ÔíÑ ãÑÉ ËÇäíÉ. ÇÍÓ Çäí ãÊÇÓİÉ."
0,Not a blender for frozen fruit: Bought this blender a year ago to make smoothies using frozen fruit. I thought it worked great. Now the blades won't turn and the bottom rusting of all things.,áíÓÊ ÎáÇØÇ ááİæÇßå ÇáãÌãÏÉ: ÇÔÊÑíÊ åĞÇ ÇáÎáÇØ ŞÈá ÚÇã áÕäÚ ÚÕÇÆÑ ÇáİæÇßå ÇáãÌãÏÉ. ÇÚÊŞÏÊ Çäå íÚãá ÈÔßá Şæí . ÇáÂä áä ÊÏæÑ ÇáÔİÑÇÊ æÇáÌÒÁ ÇáÓİáí íÕÏÃ Èßá ÇáÃÔíÇÁ.,ãæ ÎáÇØ ááİæÇßå ÇáãËáÌÉ: ÇÔÊÑíÊ åÇáÎáÇØ ŞÈá ÓäÉ ÚÔÇä ÇÓæí ÚÕÇíÑ İæÇßå ãËáÌÉ. ÊæŞÚÊ Çä íÔÊÛá ÈÔßá Òíä. ÇáÍíä ãÇ ÊÏæÑ ÇáÔİÑÇÊ æÇáÌÒÁ Çáí ÊÍÊ íÕÏí Èßá ÔíÁ.
0,"So Disappointing! Hurts your ears: I received it as a gift the next Xmas. The blender does an okay job blending and it has a glass jar. That is about it for the positives. It is the loudest kitchen appliance I have ever heard. My ears ring after using it and sometimes it hurts my ears. The rotation of the blades causes the blender jar to untwist from the base. Guess how much fun that is to clean up. So, not only is it so loud you want to be in another room when it is running, you must stand there and hold the jar still or you will have a true mess on your hands. Do not purchase this blender! This is the first time I have been disappointed. ","ãÎíÈ ÌÏÇ ááÂãÇá! íÄáã ÃĞäíß. æÕáäí ßåÏíÉ ÚíÏ ÇáãíáÇÏ ÇáãŞÈá. ÇáÎáÇØ  íãÒÌ ÌíÏÇ æ  İíå ÌÑÉ ÒÌÇÌíÉ. åĞÇ Úä ÇíÌÇÈíÇÊå. Åäå ÃÕÎÈ ÃÌåÒÉ ÇáãØÈÎ ÇáÊí ÓãÚÊåÇ. ÊÑä ÃĞäí  ÈÚÏ ÇÓÊÎÏÇãå æÃÍíÇäÇ íÄáã ÃĞäí. íÄÏí ÏæÑÇä ÇáÔİÑÇÊ Åáì İß ÌÑÉ ÇáÎáÇØ ãä ÇáŞÇÚÏÉ. Îãä  ãŞÏÇÑ ÇáãÊÚÉ áÊäÙíİå. áíÓ ÕÇÎÈÇ  İŞØ Èá  Ãäß ÊÑíÏ Ãä Êßæä İí ÛÑİÉ ÃÎÑì ÚäÏãÇ íÚãá  ¡ Èá íÌÈ Ãä ÊŞİ åäÇß æÊÙá ÇáÌÑÉ ËÇÈÊÉ Ãæ Óíßæä áÏíß İæÖì ÍŞíŞíÉ Úáì íÏíß. áÇ ÊÔÊÑí åĞÇ ÇáÎáÇØ! åĞå åí ÇáãÑÉ ÇáÃæáì ÇáÊí ÃÕÈÊ İíåÇ  ÈÎíÈÉ Ããá.","ÍÏå íİÔá!! íÚæÑ ÇáÇĞÇíä. æÕáäí ßåÏíÉ ÚíÏ ÇáãíáÇÏ ÇáÌÇí. ÇáÎáÇØ íÎáØ Òíä æİíå ÛÑÔÉ ÒÌÇÍ. åĞÇ Úä ÇíÌÇÈíÇÊå. åĞÇ ÇÒÚÌ ãßÇíä ÇáãØÈÎ Çáí ÓãÚÊåÇ. ÊØä ÇĞæäí ÚŞÈ ãÇ ÇÓÊÚãáå æÓÇÚÇÊ íÚæÑ ÇĞÇíäí. ÏæÑÇä ÇáÔİÑÇÊ íÎáí ÌÑÉ ÇáÎáÇØ Êäİ ãä ÇáŞÇÚÏÉ. Îãä Çí ŞÏ íßæä íæäÓ Çäß ÊäÙİå. ãæ ãÒÚÌ ÈÓ ÇáÇ Çäß ÊÈí Êßæä İí ÍÌÑÉ ËÇäíÉ áãÇ íÔÊÛá¡ ÇáÇ áÇÒã Çä ÊæŞİ åäÇß æÊÎáí ÇáÛÑÔÉ ËÇÈÊÉ Çæ ÈíÓæí áíß ÓÇáİÉ ÔßÈÑåÇ Úáì ÇíÇÏíß. áÇ ÊÔÊÑí åÇáÎáÇØ! åÇĞí Çæá ãÑÉ Çáí ÕÇÏÊäí İíåÇ ÎíÈÉ Çãá."
0,"So Disappointing! Hurts your ears: I received it as a gift the next Xmas. The blender does an okay job blending and it has a glass jar. That is about it for the positives. It is the loudest kitchen appliance I have ever heard. My ears ring after using it and sometimes it hurts my ears. The rotation of the blades causes the blender jar to untwist from the base. Guess how much fun that is to clean up. So, not only is it so loud you want to be in another room when it is running, you must stand there and hold the jar still or you will have a true mess on your hands. Do not purchase this blender! This is the first time I have been disappointed. ","ãÎíÈ ÌÏÇ ááÂãÇá! íÄáã ÃĞäíß. æÕáäí ßåÏíÉ ÚíÏ ÇáãíáÇÏ ÇáãŞÈá. ÇáÎáÇØ  íãÒÌ ÌíÏÇ æ  İíå ÌÑÉ ÒÌÇÌíÉ. åĞÇ Úä ÇíÌÇÈíÇÊå. Åäå ÃÕÎÈ ÃÌåÒÉ ÇáãØÈÎ ÇáÊí ÓãÚÊåÇ. ÊÑä ÃĞäí  ÈÚÏ ÇÓÊÎÏÇãå æÃÍíÇäÇ íÄáã ÃĞäí. íÄÏí ÏæÑÇä ÇáÔİÑÇÊ Åáì İß ÌÑÉ ÇáÎáÇØ ãä ÇáŞÇÚÏÉ. Îãä  ãŞÏÇÑ ÇáãÊÚÉ áÊäÙíİå. áíÓ ÕÇÎÈÇ  İŞØ Èá  Ãäß ÊÑíÏ Ãä Êßæä İí ÛÑİÉ ÃÎÑì ÚäÏãÇ íÚãá  ¡ Èá íÌÈ Ãä ÊŞİ åäÇß æÊÙá ÇáÌÑÉ ËÇÈÊÉ Ãæ Óíßæä áÏíß İæÖì ÍŞíŞíÉ Úáì íÏíß. áÇ ÊÔÊÑí åĞÇ ÇáÎáÇØ! åĞå åí ÇáãÑÉ ÇáÃæáì ÇáÊí ÃÕÈÊ İíåÇ  ÈÎíÈÉ Ããá.","ÍÏå íİÔá!! íÚæÑ ÇáÇĞÇíä. æÕáäí ßåÏíÉ ÚíÏ ÇáãíáÇÏ ÇáÌÇí. ÇáÎáÇØ íÎáØ Òíä æİíå ÛÑÔÉ ÒÌÇÍ. åĞÇ Úä ÇíÌÇÈíÇÊå. åĞÇ ÇÒÚÌ ãßÇíä ÇáãØÈÎ Çáí ÓãÚÊåÇ. ÊØä ÇĞæäí ÚŞÈ ãÇ ÇÓÊÚãáå æÓÇÚÇÊ íÚæÑ ÇĞÇíäí. ÏæÑÇä ÇáÔİÑÇÊ íÎáí ÌÑÉ ÇáÎáÇØ Êäİ ãä ÇáŞÇÚÏÉ. Îãä Çí ŞÏ íßæä íæäÓ Çäß ÊäÙİå. ãæ ãÒÚÌ ÈÓ ÇáÇ Çäß ÊÈí Êßæä İí ÍÌÑÉ ËÇäíÉ áãÇ íÔÊÛá¡ ÇáÇ áÇÒã Çä ÊæŞİ åäÇß æÊÎáí ÇáÛÑÔÉ ËÇÈÊÉ Çæ ÈíÓæí áíß ÓÇáİÉ ÔßÈÑåÇ Úáì ÇíÇÏíß. áÇ ÊÔÊÑí åÇáÎáÇØ! åÇĞí Çæá ãÑÉ Çáí ÕÇÏÊäí İíåÇ ÎíÈÉ Çãá."
0,"Lasted a few minutes!: I wanted to buy the Thermoworks (new and improved) thermometer, but amazon offered it through an outside vendor which charged a shipping fee... and this one seemed to have gotten okay reviews, so i went with the cheaper option. i received it this past week and used it last night on our steaks. it started off okay. i was able to set the correct temperature on the display and saw that the temperature reading was going down once the probe went from the counter to the meat. when i looked over about 5 minutes later, the display was blank. i tried the power button but to no avail. i then thought it may be the battery, but even with a fresh one, the power wouldn't turn back on!so unless you need a disposable thermometer that lasts only for a few minutes, move onto another brand!","ÇÓÊãÑ áÈÖÚ ÏŞÇÆŞ!: ÃÑÏÊ ÔÑÇÁ ãŞíÇÓ ÇáÍÑÇÑÉ (ÇáÌÏíÏ æÇáãÍÓøä) ¡ áßä ÇáÃãÇÒæä ÚÑÖÊå ãä ÎáÇá ÈÇÆÚ ÎÇÑÌí İÑÖ ÑÓæãÇ ááÔÍä ... æíÈÏæ Ãä ãŞíÇÓ ÇáÍÑÇÑÉ åĞÇ ŞÏ ŞÏ ÍÇÒ Úáì ÊÚáíŞÇÊ ÌíÏÉ  ¡ áĞÇ ĞåÈÊ ãÚ ÇáÎíÇÑ ÇáÃÑÎÕ. ÇÓÊáãÊå ÇáÃÓÈæÚ ÇáãÇÖí æÇÓÊÎÏãå ÇááíáÉ ÇáãÇÖíÉ Úáì ÔÑÇÆÍ ÇááÍã áÏíäÇ. áŞÏ ÇÔÊÛá ÈÔßá ÌíÏ İí ÇáÈÏÇíÉ. ÊãßäÊ ãä ÖÈØ ÏÑÌÉ ÇáÍÑÇÑÉ ÇáÕÍíÍÉ Úáì ÇáÔÇÔÉ æÑÃíÊ Ãä ŞÑÇÁÉ ÏÑÌÉ ÇáÍÑÇÑÉ ÊäÎİÖ ÈãÌÑÏ Ãä íäÊŞá ÇáãÌÓ ãä ÇáÚÏÇÏ Åáì ÇááÍã. ÚäÏãÇ äÙÑÊ Åáíå ÈÚÏ ÍæÇáí 5 ÏŞÇÆŞ ¡ ßÇäÊ ÇáÔÇÔÉ İÇÑÛÉ. ÍÇæáÊ ãÚ ÒÑ ÇáØÇŞÉ æáßä Ïæä ÌÏæì. ÇÚÊŞÏÊ ÈÚÏ Ğáß ÃäåÇ ŞÏ Êßæä ÇáÈØÇÑíÉ ¡ æáßä ÍÊì ãÚ æÌæÏ ÈØÇÑíÉ ÌÏíÏÉ ¡ İÅä ÇáØÇŞÉ áä ÊÚæÏ ãÑÉ ÃÎÑì! áĞáß ãÇ áã Êßä ÈÍÇÌÉ Åáì ãíÒÇä ÍÑÇÑÉ íãßä ÇáÊÎáÕ ãäå íÏæã áÈÖÚ ÏŞÇÆŞ İŞØ ¡ ÇäÊŞá Åáì ÚáÇãÉ ÊÌÇÑíÉ ÃÎÑì!","æÇÕá áÌã ÏŞíŞÉ :ÈÛíÊ ÇÔÊÑí ãŞíÇÓ ÇáÍÑÇÑÉ ÇáÌÏíÏ æÇáãØæÑ¡ ÈÓ ÇãÇÒæä ÚÑÖÊå ãä ÚäÏ ÈÇÆÚ ÎÇÑÌí İÑÖ ÑÓæã Úáì ÇáÔÍä.... æíÈíä Çä ãŞíÇÓ ÇáÍÑÇÑÉ ÏÇ ÍÕáÊ Úáì ÑÏÉ İÚá ÅíÌÇÈíÉ ãä Çááí ÇÔÊÑæå¡ ÚÔÇä ÌÏí ÑÍÊ æíÇ ÇáÎíÇÑ ÇáÇÑÎÕ. ÇÓÊáãÊå ÇáÇÓÈæÚ Çáí ØÇİ æÇÓÊÎÏãÊå ÇãÓ İí Çááíá Úáì ÇáÓÊíß ÚäÏäÇ. ÇÔÊÛá ÚÏá İí ÇáÈÏÇíÉ. ŞÏÑÊ ÇÖÈØ ÏÑÌÉ ÇáÍÑÇÑÉ ÇáÚÏáÉ Úáì ÇáÔÇÔÉ æÔİÊ Çä ŞÑÇíÉ ÏÑÌÉ ÇáÍÑÇÑÉ ÊäÒá ãÌÑÏ ãÇ íäÊŞá ÇáãÌÓ ãä ÇáÚÏÇÏ ááÍã. áãÇ ØÇáÚÊå ÚŞÈ ÎãÓ ÏŞÇíŞ ÊŞÑíÈÇ¡ ßÇäÊ ÇáÔÇÔÉ İÇÖíÉ. ÌÑÈÊ æíÇ ÍÈÊåÇ ÈÓ ãä Ïæä İÇíÏÉ. İßÑÊ ÚŞÈ Çä íãßä ãä ÇáÈÊÇÑí. ÈÓ ÍÊì ÚŞÈ ÇáÈÊÑí ÇáÌÏíÏ¡ ÇáÇ Çä ÇáØÇŞÉ ãÇ ÊÑÌÚ ãÑÉ ËÇäíÉ! ÚÔÇä ÌĞí ÇĞÇ ãÇ ÚäÏß ÍÇÌÉ áãŞíÇÓ ÍÑÇÑÉ íÎÊÑÈ ÚŞÈ ÎãÓ ÏŞÇíŞ¡ Ìæİ áß ãÇÑßÉ ÛíÑ!"
0,"No Drama: I hate to give this book such a low rating but it was incredibly dull. The title might lead you to believe the author will paint a tale of two persons and compare the sides, but in fact she tells you in the first few pages that she sees him as a visionary. There is nothing in the book that would suggest the subject was a villain at all. I have a great interest and I could not finish this book - and this was my second attempt.","áÇ   ÏÑÇãÇ: ÃäÇ ÃßÑå ÅÚØÇÁ åĞÇ ÇáßÊÇÈ ÊŞííãÇ  ãäÎİÖğÇ áßäå ßÇä ããáğÇ ááÛÇíÉ. ŞÏ íŞæÏß ÇáÚäæÇä Åáì ÇáÇÚÊŞÇÏ ÈÃä ÇáãÄáİÉ Óæİ ÊÑÓã ŞÕÉ ÔÎÕíä æÊŞÇÑä ÇáÌæÇäÈ ¡ áßäåÇ İí ÇáÍŞíŞÉ ÊÎÈÑß İí ÇáÕİÍÇÊ ÇáŞáíáÉ ÇáÃæáì ÈÃäåÇ ÊÚÊÈÑå ÕÇÍÈ ÑÄíÉ. áÇ íæÌÏ İí ÇáßÊÇÈ ãÇ íæÍí ÈÃä ÇáãæÖæÚ ßÇä ÔÑíÑğÇ Úáì ÇáÅØáÇŞ. áÏí ÇåÊãÇã ßÈíÑ áßäí áã  ÃÊãßä ãä  ÅäåÇÁ åĞÇ ÇáßÊÇÈ - æßÇäÊ åĞå ãÍÇæáÊí ÇáËÇäíÉ.","ãÇİí ÏÑÇãÇ : Çäí ãÇ ÇÍÈ ÇÚØí åÇáßÊÇÈ ÊŞíã äÇÒá áßäå ßÇä ÍÏå ããá. íãßä íÎáíß ÇáÚäæÇä ÊİßÑ Çä ÇáãæáİÉ ÈÊÑÓã ŞÕÉ ÔÎÕíä æÊŞÇÑä ÇáÌæÇäÈ¡ ÈÓ İí ÇáÕÏŞ ÊŞæáß İí Çæá Ìã ÕİÍÉ ÇäåÇ ÊÚÊÈÑå ÕÇÍÈ ÇáÑÄíÉ. ãÇßÇä İí ÇáßÊÇÈ ÇáÔí Çááí íÈíä Çäå ÔÑíÑ ßáÔ. ÚäÏí ÇåÊãÇã ÚæÏ ÇáÇ Çäí ãÇ ŞÏÑÊ ÇÎáÕ åÇáßÊÇÈ- æßÇäÊ åĞÇí ËÇäí ãÍÇæáÉ ÍŞí."
0,"very very disappointing: The picture & audio quality is very poor worse than a video tape ,maybe a bootleg copy.","ÌÏÇ ÌÏ ãÎíÈ ááÂãÇá: ÌæÏÉ ÇáÕæÑÉ æÇáÕæÊ ÑÏíÆÉ ááÛÇíÉ æ ÃÓæÁ ãä ÔÑíØ ÇáİíÏíæ ¡ æÑÈãÇ äÓÎÉ áÃÕá ãÓÑæŞ ",ÍÏå ÍÏå íÎíÈ ÇáÇãÇá: ßæÇáíÊí ÇáÕæÑÉ æÇáÕæÊ ßáÔ ßÌÑÉ æÇááí ÇÎÓ ãäåÇ ÇáİíÏíæ æíãßä äÓÎÉ áÔí ãÈíæŞ.
0,Too small!: Was looking to put these on my car and they are just too small. I should have read the size closer before ordering.,"ÕÛíÑÉ ÌÏğÇ!: ßäÊ ÃÊØáÚ áæÖÚåÇ Úáì ÓíÇÑÊí¡  æåí ÕÛíÑÉ ÌÏğÇ. ßÇä íÌÈ Úáí ŞÑÇÁÉ ÇáÍÌã Úä ŞÑÈ  ŞÈá ÇáØáÈ .","ßáÔ ÕÛíÑÉ : ßäÊ ÇÍÇÑÓ Çä ÇÍØåÇ Úáì ÓíÇÑÊí¡ æåí ßáÔ ÕÛíÑÉ. ßÇä áÇÒã Çäí ÇŞÑÇ ÇáÓÇíÒ ãä ŞÑíÈ ŞÈá áÇ ÇÔÊÑí."
